nthreads,throughput
1,11904740000.0
2,17830640000.0
3,26707510000.0
4,35542840000.0
5,43880210000.0
6,53113880000.0
7,61874380000.0
8,70522980000.0
9,78320740000.0
10,85616160000.0
11,85685050000.0
12,84249520000.0
13,83984550000.0
14,83321460000.0
15,83709180000.0
16,86224420000.0
17,90937950000.0
18,95230630000.0
19,98137960000.0
20,100494230000.0
21,101284580000.0
22,101932070000.0
23,103369490000.0
24,103066300000.0
25,104710480000.0
26,105378900000.0
27,106001470000.0
28,105824010000.0
29,107240070000.0
30,108235070000.0
31,108892130000.0
32,110351800000.0
